"id","code","description","parent_id","active"
203,"01.13.11",Спаржа,202,true
405,"01.21",Виноград,404,true
3356,"10.52.10",Мороженое,3355,true
1178,"02.20.11.182",Хлысты еловые,1176,true
10188,"25.73.30.130",Рашпили,10185,true
445,"01.24.23",Абрикосы,440,true
446,"01.24.23.000",Абрикосы,445,true
447,"01.24.24",Вишня,440,true
448,"01.24.24.000",Вишня,447,true
449,"01.24.25",Персики,440,true
450,"01.24.25.000",Персики,449,true
451,"01.24.26",Нектарины,440,true
452,"01.24.26.000",Нектарины,451,true
453,"01.24.27",Сливы,440,true
454,"01.24.27.000",Сливы,453,true
455,"01.24.28",Терн,440,true
456,"01.24.28.000",Терн,455,true
457,"01.24.29","Плоды семечковых и косточковых культур прочие, не включенные в другие группировки",440,true
458,"01.24.29.110",Черешня,457,true
459,"01.24.29.120","Алыча (ткемали, вишнеслива)",457,true
460,"01.24.29.130",Барбарис,457,true
461,"01.24.29.140",Кизил,457,true
462,"01.25","Плоды прочих плодовых деревьев, кустарников и орехов",404,true
463,"01.25.1",Ягоды и плоды растений вида Vaccinium,462,true
464,"01.25.11",Киви,463,true
465,"01.25.11.000",Киви,464,true
466,"01.25.12",Малина,463,true
467,"01.25.12.000",Малина,466,true
468,"01.25.13",Земляника (клубника),463,true
469,"01.25.13.000",Земляника (клубника),468,true
470,"01.25.19","Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки",463,true
471,"01.25.19.110",Смородина черная,470,true
472,"01.25.19.120",Смородина красная,470,true
474,"01.25.19.140",Крыжовник,470,true
475,"01.25.19.150",Клюква,470,true
476,"01.25.19.160",Брусника,470,true
477,"01.25.19.170",Черника,470,true
478,"01.25.19.180",Голубика,470,true
479,"01.25.19.190","Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки",470,true
480,"01.25.2",Семена плодовых культур,462,true
481,"01.25.20",Семена плодовых культур,480,true
482,"01.25.20.110",Семена плодовых семечковых культур,481,true
483,"01.25.20.120",Семена плодовых косточковых культур,481,true
484,"01.25.20.130",Семена ягодных культур,481,true
485,"01.25.3","Орехи, кроме лесных съедобных орехов, земляных орехов и кокосовых орехов",462,true
486,"01.25.31",Миндаль,485,true
487,"01.25.31.000",Миндаль,486,true
488,"01.25.32",Каштаны,485,true
489,"01.25.32.000",Каштаны,488,true
490,"01.25.33",Фундук,485,true
491,"01.25.33.000",Фундук,490,true
492,"01.25.34",Фисташки,485,true
493,"01.25.34.000",Фисташки,492,true
494,"01.25.35",Орехи грецкие,485,true
495,"01.25.35.000",Орехи грецкие,494,true
496,"01.25.39","Орехи прочие, не включенные в другие группировки",485,true
497,"01.25.39.000","Орехи прочие, не включенные в другие группировки",496,true
498,"01.25.9","Плоды деревьев и кустарников прочие, не включенные в другие группировки",462,true
499,"01.25.90","Плоды деревьев и кустарников прочие, не включенные в другие группировки",498,true
500,"01.25.90.110",Хурма,499,true
501,"01.25.90.120",Гранат,499,true
502,"01.25.90.130",Фейхоа,499,true
503,"01.25.90.140",Мушмула,499,true
504,"01.26",Плоды масличных культур,404,true
505,"01.26.1",Оливки (маслины),504,true
506,"01.26.11",Оливки столовые,505,true
507,"01.26.11.000",Оливки столовые,506,true
508,"01.26.12",Оливки для производства оливкового масла,505,true
509,"01.26.12.000",Оливки для производства оливкового масла,508,true
510,"01.26.2",Орехи кокосовые,504,true
511,"01.26.20",Орехи кокосовые,510,true
512,"01.26.20.000",Орехи кокосовые,511,true
513,"01.26.9",Плоды масличных культур прочие,504,true
514,"01.26.90",Плоды масличных культур прочие,513,true
515,"01.26.90.000",Плоды масличных культур прочие,514,true
516,"01.27",Культуры для производства напитков,404,true
517,"01.27.1",Культуры для производства напитков,516,true
518,"01.27.11",Зерна кофейные необжаренные,517,true
519,"01.27.11.000",Зерна кофейные необжаренные,518,true
520,"01.27.12",Листья чая,517,true
521,"01.27.12.110",Лист зеленого чая сортовой,520,true
522,"01.27.12.120",Лист зеленого чая грубый,520,true
523,"01.27.12.130",Лист черного чая сортовой,520,true
524,"01.27.12.140",Лист черного чая грубый,520,true
525,"01.27.13",Листья мате,517,true
526,"01.27.13.000",Листья мате,525,true
527,"01.27.14",Какао-бобы,517,true
2120,"08.99.22.120",Пемза,2118,true
6907,"20.13.23.117",Барий,6900,true
6908,"20.13.23.119","Металлы щелочные и щелочно-земельные прочие, не включенные в другие группировки",6900,true
6909,"20.13.23.120","Металлы редкоземельные (включая скандий и иттрий) в чистом виде, в смесях или сплавах",6899,true
6910,"20.13.23.121",Иттрий,6909,true
6911,"20.13.23.122",Гадолиний,6909,true
6912,"20.13.23.123",Тербий,6909,true
6913,"20.13.23.124",Диспрозий,6909,true
6914,"20.13.23.125",Гольмий,6909,true
6915,"20.13.23.126",Эрбий,6909,true
6916,"20.13.23.127",Тулий,6909,true
6917,"20.13.23.128",Иттербий,6909,true
6918,"20.13.23.129",Лютеций,6909,true
6919,"20.13.23.131",Скандий,6899,true
6920,"20.13.23.132",Лантан металлический,6899,true
6921,"20.13.23.133",Церий металлический,6899,true
6922,"20.13.23.134",Празеодим металлический,6899,true
6923,"20.13.23.135",Неодим металлический и неодим в лигатуре,6899,true
6924,"20.13.23.136",Самарий,6899,true
6925,"20.13.23.137",Европий,6899,true
6926,"20.13.23.138",Сплавы церийсодержащие,6899,true
6927,"20.13.23.139",Сплавы и лигатуры на основе редкоземельных металлов прочие,6899,true
6928,"20.13.23.140",Ртуть,6899,true
